Report,From Date,To Date,Initiative,Agent
Agent Calling Activity by Outcome,17-Sep-17,24-Sep-17,All Initiatives,All Agents
,,,,
Initiative Name,Outcome,Count,,
AMF Lead Conversion,Already a Supporter,2,,
AMF Lead Conversion,Answer Machine,1457,,
AMF Lead Conversion,Call Back - Queue,97,,
AMF Lead Conversion,Callback - Agent,46,,
AMF Lead Conversion,Confirmed,3,,
AMF Lead Conversion,Disconnected Number,20,,
AMF Lead Conversion,Do Not Call,27,,
AMF Lead Conversion,Instant Refusal,23,,
AMF Lead Conversion,Not Interested,76,,
AMF Lead Conversion,Uncontactable,4,,
AMF Lead Conversion,Wrong Number,66,,
AMF Lead Conversion (ReachTel),Already a Supporter,2,,
AMF Lead Conversion (ReachTel),Answer Machine,695,,
AMF Lead Conversion (ReachTel),Call Back - Queue,115,,
AMF Lead Conversion (ReachTel),Callback - Agent,60,,
AMF Lead Conversion (ReachTel),Confirmed,7,,
AMF Lead Conversion (ReachTel),Deceased,2,,
AMF Lead Conversion (ReachTel),Disconnected Number,4,,
AMF Lead Conversion (ReachTel),Do Not Call,6,,
AMF Lead Conversion (ReachTel),Instant Refusal,43,,
AMF Lead Conversion (ReachTel),No Survey,10,,
AMF Lead Conversion (ReachTel),Not Interested,148,,
AMF Lead Conversion (ReachTel),Promised RG,2,,
AMF Lead Conversion (ReachTel),Promised SG,2,,
AMF Lead Conversion (ReachTel),Single Gift,5,,
AMF Lead Conversion (ReachTel),Uncontactable,18,,
AMF Lead Conversion (ReachTel),Wrong Number,32,,
AMF Reactivations,Already a Supporter,1,,
AMF Reactivations,Answer Machine,802,,
AMF Reactivations,Callback - Agent,42,,
AMF Reactivations,Callback - Queue,42,,
AMF Reactivations,Confirmed,4,,
AMF Reactivations,Deceased,1,,
AMF Reactivations,Instant Refusal,36,,
AMF Reactivations,Not Interested,62,,
AMF Reactivations,Single Gift,5,,
AMF Reactivations,Uncontactable,3,,
AMF Reactivations,Wrong Number,8,,
Cerebral Palsy Recycled,Answer Machine,1984,,
Cerebral Palsy Recycled,Call Back - Queue,184,,
Cerebral Palsy Recycled,Callback - Agent,65,,
Cerebral Palsy Recycled,Confirmed,6,,
Cerebral Palsy Recycled,Deceased,1,,
Cerebral Palsy Recycled,Disconnected Number,9,,
Cerebral Palsy Recycled,Do Not Call,3,,
Cerebral Palsy Recycled,Instant Refusal,73,,
Cerebral Palsy Recycled,No Survey,3,,
Cerebral Palsy Recycled,Not Interested,44,,
Cerebral Palsy Recycled,Single Gift,2,,
Cerebral Palsy Recycled,Uncontactable,11,,
Cerebral Palsy Recycled,Wrong Number,55,,
Greenpeace Lead Conversion,Answer Machine,113,,
Greenpeace Lead Conversion,Call Back - Agent,3,,
Greenpeace Lead Conversion,Call Back - Queue,12,,
Greenpeace Lead Conversion,Confirmed,1,,
Greenpeace Lead Conversion,Disconnected,1,,
Greenpeace Lead Conversion,Instant Refusal,6,,
Greenpeace Lead Conversion,Max Attempts,22,,
Greenpeace Lead Conversion,Not Interested,3,,
Greenpeace Lead Conversion,Uncontactable,2,,
Greenpeace Lead Conversion,Wrong Number,1,,
Greenpeace Lead Conversion (Open Top),Already a Supporter,1,,
Greenpeace Lead Conversion (Open Top),Answer Machine,530,,
Greenpeace Lead Conversion (Open Top),Call Back - Agent,9,,
Greenpeace Lead Conversion (Open Top),Call Back - Queue,51,,
Greenpeace Lead Conversion (Open Top),Disconnected,7,,
Greenpeace Lead Conversion (Open Top),Do Not Call,2,,
Greenpeace Lead Conversion (Open Top),Instant Refusal,20,,
Greenpeace Lead Conversion (Open Top),No Survey,14,,
Greenpeace Lead Conversion (Open Top),Not Interested,13,,
Greenpeace Lead Conversion (Open Top),Uncontactable,11,,
Greenpeace Lead Conversion (Open Top),Wrong Number,17,,
Greenpeace Lead Conversion (ReachTel),Already a Supporter,10,,
Greenpeace Lead Conversion (ReachTel),Answer Machine,824,,
Greenpeace Lead Conversion (ReachTel),Call Back - Agent,45,,
Greenpeace Lead Conversion (ReachTel),Call Back - Queue,177,,
Greenpeace Lead Conversion (ReachTel),Confirmed,4,,
Greenpeace Lead Conversion (ReachTel),Disconnected,5,,
Greenpeace Lead Conversion (ReachTel),Do Not Call,6,,
Greenpeace Lead Conversion (ReachTel),Instant Refusal,60,,
Greenpeace Lead Conversion (ReachTel),Max Attempts,133,,
Greenpeace Lead Conversion (ReachTel),No Survey,48,,
Greenpeace Lead Conversion (ReachTel),Not Interested,90,,
Greenpeace Lead Conversion (ReachTel),Promised RG,2,,
Greenpeace Lead Conversion (ReachTel),Uncontactable,26,,
Greenpeace Lead Conversion (ReachTel),Wrong Number,12,,
Greenpeace Petition,Already a Supporter,2,,
Greenpeace Petition,Answer Machine,674,,
Greenpeace Petition,Call Back - Agent,15,,
Greenpeace Petition,Call Back - Queue,51,,
Greenpeace Petition,Confirmed,6,,
Greenpeace Petition,Disconnected,11,,
Greenpeace Petition,Do Not Call,6,,
Greenpeace Petition,Instant Refusal,25,,
Greenpeace Petition,Max Attempt,35,,
Greenpeace Petition,Not Interested,48,,
Greenpeace Petition,Single Gift,1,,
Greenpeace Petition,Wrong Number,7,,
Greenpeace Plastics,Already a Supporter,2,,
Greenpeace Plastics,Answer Machine,930,,
Greenpeace Plastics,Call Back - Agent,48,,
Greenpeace Plastics,Call Back - Queue,85,,
Greenpeace Plastics,Confirmed,4,,
Greenpeace Plastics,Disconnected,10,,
Greenpeace Plastics,Do Not Call,14,,
Greenpeace Plastics,Instant Refusal,16,,
Greenpeace Plastics,Max Attempt,84,,
Greenpeace Plastics,Not Interested,56,,
Greenpeace Plastics,Single Gift,4,,
Greenpeace Plastics,Uncontactable,9,,
ICV Cash Conversion,Already a Supporter,3,,
ICV Cash Conversion,Answer Machine,1134,,
ICV Cash Conversion,Call Back - Queue,233,,
ICV Cash Conversion,Callback - Agent,73,,
ICV Cash Conversion,Confirmed,25,,
ICV Cash Conversion,Deceased,1,,
ICV Cash Conversion,Disconnected Number,1,,
ICV Cash Conversion,Do Not Call,25,,
ICV Cash Conversion,Instant Refusal,76,,
ICV Cash Conversion,Not Interested,259,,
ICV Cash Conversion,Promised RG,5,,
ICV Cash Conversion,Promised SG,4,,
ICV Cash Conversion,Single Gift,19,,
ICV Cash Conversion,Uncontactable,27,,
ICV Cash Conversion,Wrong Number,16,,
ICV Lead Conversion (ReachTel),Already a Supporter,9,,
ICV Lead Conversion (ReachTel),Answer Machine,516,,
ICV Lead Conversion (ReachTel),Call Back - Queue,90,,
ICV Lead Conversion (ReachTel),Callback - Agent,154,,
ICV Lead Conversion (ReachTel),Confirmed,24,,
ICV Lead Conversion (ReachTel),Do Not Call,5,,
ICV Lead Conversion (ReachTel),Instant Refusal,60,,
ICV Lead Conversion (ReachTel),No Survey,96,,
ICV Lead Conversion (ReachTel),Not Interested,261,,
ICV Lead Conversion (ReachTel),Promised RG,3,,
ICV Lead Conversion (ReachTel),Promised SG,2,,
ICV Lead Conversion (ReachTel),Single Gift,6,,
ICV Lead Conversion (ReachTel),Uncontactable,22,,
ICV Lead Conversion (ReachTel),Wrong Number,8,,
ICV Reactivations,Answer Machine,275,,
ICV Reactivations,Call Back - Queue,14,,
ICV Reactivations,Callback - Agent,18,,
ICV Reactivations,Confirmed,3,,
ICV Reactivations,Disconnected Number,9,,
ICV Reactivations,Instant Refusal,4,,
ICV Reactivations,Max Attempts,1,,
ICV Reactivations,Not Interested,4,,
ICV Reactivations,Single Gift,1,,
ICV Reactivations,Uncontactable,2,,
ICV Reactivations,Wrong Number,2,,
ICV Recycled,Already a Supporter,3,,
ICV Recycled,Answer Machine,307,,
ICV Recycled,Call Back - Queue,128,,
ICV Recycled,Callback - Agent,27,,
